Line No,Source,Address,Source_1,Warp Stall Sampling (All Samples),Warp Stall Sampling (Not-issued Samples),# Samples,Instructions Executed,Thread Instructions Executed,Predicated-On Thread Instructions Executed,Avg. Threads Executed,Avg. Predicated-On Threads Executed,Divergent Branches,Address Space,Access Operation,Access Size,L1 Tag Requests Global,L1 Conflicts Shared N-Way,L1 Wavefronts Shared Excessive,L1 Wavefronts Shared,L1 Wavefronts Shared Ideal,L2 Theoretical Sectors Global Excessive,L2 Theoretical Sectors Global,L2 Theoretical Sectors Global Ideal,L2 Theoretical Sectors Local,L2 Explicit Evict Policies,L2 Explicit Hit Policy Evict First,L2 Explicit Hit Policy Evict Last,L2 Explicit Hit Policy Evict Normal,L2 Explicit Hit Policy Evict Normal Demote,L2 Explicit Miss Policy Evict First,L2 Explicit Miss Policy Evict Normal,stall_barrier,stall_branch_resolving,stall_dispatch,stall_drain,stall_imc,stall_lg,stall_long_sb,stall_math,stall_membar,stall_mio,stall_misc,stall_no_inst,stall_not_selected,stall_selected,stall_short_sb,stall_sleep,stall_tex,stall_wait,stall_barrier (Not Issued),stall_branch_resolving (Not Issued),stall_dispatch (Not Issued),stall_drain (Not Issued),stall_imc (Not Issued),stall_lg (Not Issued),stall_long_sb (Not Issued),stall_math (Not Issued),stall_membar (Not Issued),stall_mio (Not Issued),stall_misc (Not Issued),stall_no_inst (Not Issued),stall_not_selected (Not Issued),stall_selected (Not Issued),stall_short_sb (Not Issued),stall_sleeping (Not Issued),stall_tex (Not Issued),stall_wait (Not Issued),Kernel_Name,VR_dispatch_id
212,d_output += n_vectors * blockIdx.y;,-,-,16,13,16,24000,768000,768000,384,384,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",15
211,d_directions += n_directions * blockIdx.y;,-,-,15,13,15,24000,768000,768000,384,384,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",15
201,"void sobolGPU_kernel(unsigned n_vectors, unsigned n_dimensions,",-,-,41,36,41,54000,1728000,1728000,864,864,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,5,0,2,4,0,0,9,0,0,0,0,21,0,0,0,0,0,0,5,0,0,4,0,0,6,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",15
297,},-,-,118,106,118,6000,192000,192000,96,96,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,6,0,0,0,0,0,0,96,0,0,0,0,1,0,0,0,15,0,5,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,14,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",16
295,d_output[i] = (float)X * k_2powneg32;,-,-,239161,176122,239161,499968000,15998976000,15998976000,512,512,0,Global,Store,32,31248000,0,0,0,0,0,124992000,124992000,0,,0,0,0,0,0,0,0,0,8,0,0,0,0,289,0,23,0,0,322,13335,40483,0,0,184701,0,0,8,0,0,0,0,288,0,22,0,0,0,0,33976,0,0,141828,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",16
294,X ^= v_log2stridem1 ^ v[__ffs(~((i - stride) | v_stridemask)) - 1];,-,-,515070,372856,515070,1187424000,37997568000,37997568000,1216,1216,0,Shared,Load,32,0,1,0,31248000,31248000,0,0,0,0,,0,0,0,0,0,0,0,4897,1,0,0,0,8355,810,0,0,0,1748,411,31359,38143,0,0,429346,0,3828,1,0,0,0,6652,806,0,0,0,1419,0,0,32442,0,0,327708,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",16
286,for (unsigned int i = i0 + stride ; i < n_vectors ; i += stride),-,-,198499,139564,198499,500000000,16000000000,15000064000,800,768,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,4952,0,0,0,0,8,190,0,0,0,0,57,13169,0,0,0,180123,0,3628,0,0,0,0,6,187,0,0,0,0,0,0,0,0,0,135743,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",16
284,unsigned int v_stridemask = stride - 1;,-,-,0,0,0,4000,128000,128000,64,64,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",16
283,unsigned int v_log2stridem1 = v[__ffs(stride) - 2];,-,-,46,35,46,66000,2112000,2112000,1056,1056,0,Shared,Load,32,0,1,0,2000,2000,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,7,0,0,34,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,27,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",16
256,d_output[i0] = (float)X * k_2powneg32;,-,-,19,11,19,40000,1280000,1280000,640,640,0,Global,Store,32,2000,0,0,0,0,0,8000,8000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",16
254,if (i0 < n_vectors),-,-,0,0,0,10000,320000,256000,160,128,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",16
251,g = g >> 1;,-,-,4,4,4,24000,768000,768000,64,64,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",16
250,X ^= mask & v[k];,-,-,107,78,107,312000,9984000,9984000,832,832,0,Shared,Load,32,0,1,0,12000,12000,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,4,10,0,0,85,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,63,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",16
249,mask = - (g & 1);,-,-,27,18,27,60000,1920000,1920000,160,160,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",16
243,for (unsigned int k = 0 ; k < __ffs(stride) - 1 ; k++),-,-,155,102,155,364000,11648000,11264000,1184,1156,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",16
240,unsigned int X = 0;,-,-,8,4,8,8000,256000,256000,128,128,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",16
234,unsigned int g = i0 ^ (i0 >> 1);,-,-,8,8,8,6000,192000,192000,96,96,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",16
229,int stride = gridDim.x * blockDim.x;,-,-,7,4,7,8000,256000,256000,128,128,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",16
228,int i0     = threadIdx.x + blockIdx.x * blockDim.x;,-,-,30,28,30,16000,512000,512000,256,256,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,17,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",16
223,__syncthreads();,-,-,6,5,6,4000,128000,128000,64,64,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",16
219,v[threadIdx.x] = d_directions[threadIdx.x];,-,-,18,15,18,42000,1344000,1344000,1344,1344,0,"Global,Shared","Load,Store",32(2),1000,1,0,1000,1000,0,4000,4000,0,,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,11,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",16
